"date","district","primary_type","arrest","domestic","case_number"
"2018-01-03T09:00:00.000","001","THEFT","false","false","JB112472"
"2018-01-03T09:34:00.000","001","OTHER OFFENSE","false","false","JB102726"
"2018-01-03T10:00:00.000","001","BATTERY","false","false","JB102743"
"2018-01-03T10:00:00.000","001","BATTERY","false","true","JB103598"
"2018-01-03T10:20:00.000","001","CRIMINAL TRESPASS","true","false","JB102639"
"2018-01-03T11:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB102844"
"2018-01-03T12:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB108382"
"2018-01-03T12:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB113731"
"2018-01-03T12:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB129150"
"2018-01-03T12:00:00.000","001","PUBLIC PEACE VIOLATION","false","false","JB102819"
"2018-01-03T12:30:00.000","001","BATTERY","false","false","JB102843"
"2018-01-03T12:45:00.000","001","ASSAULT","false","true","JB102988"
"2018-01-03T12:50:00.000","001","THEFT","false","false","JB103523"
"2018-01-03T14:00:00.000","001","THEFT","false","false","JB103042"
"2018-01-03T14:15:00.000","001","DECEPTIVE PRACTICE","false","false","JB103161"
"2018-01-03T15:24:00.000","001","THEFT","false","false","JB103044"
"2018-01-03T15:35:00.000","001","MOTOR VEHICLE THEFT","false","false","JB103082"
"2018-01-03T16:00:00.000","001","ROBBERY","false","false","JB105005"
"2018-01-03T16:30:00.000","001","OTHER OFFENSE","false","true","JB103294"
"2018-01-03T16:45:00.000","001","ROBBERY","false","false","JB103199"
"2018-01-03T16:50:00.000","001","THEFT","false","false","JB103224"
"2018-01-03T17:10:00.000","001","THEFT","false","false","JB104526"
"2018-01-03T18:19:00.000","001","THEFT","true","false","JB103384"
"2018-01-03T19:30:00.000","001","THEFT","false","false","JB103975"
"2018-01-03T19:45:00.000","001","THEFT","true","false","JB103448"
"2018-01-03T20:00:00.000","001","THEFT","false","false","JB103982"
"2018-01-03T20:00:00.000","001","THEFT","false","false","JB103542"
"2018-01-03T20:00:00.000","001","THEFT","false","false","JB103613"
"2018-01-03T22:15:00.000","001","THEFT","false","false","JB103633"
"2018-01-03T22:57:00.000","001","ROBBERY","false","false","JB103612"
"2018-01-04T01:00:00.000","001","MOTOR VEHICLE THEFT","false","false","JB103942"
"2018-01-04T04:17:00.000","001","CRIMINAL TRESPASS","false","false","JB103752"
"2018-01-04T07:40:00.000","001","OTHER OFFENSE","false","true","JB104382"
"2018-01-04T07:50:00.000","001","BATTERY","false","false","JB103797"
"2018-01-04T09:00:00.000","001","THEFT","false","false","JB104113"
"2018-01-04T09:00:00.000","001","OTHER OFFENSE","false","true","JB104146"
"2018-01-04T09:00:00.000","001","THEFT","false","false","JB118084"
"2018-01-04T10:31:00.000","001","ROBBERY","false","false","JB103953"
"2018-01-04T10:55:00.000","001","THEFT","false","false","JB104018"
"2018-01-04T12:15:00.000","001","BATTERY","false","false","JB104098"
"2018-01-04T13:00:00.000","001","OTHER OFFENSE","false","true","JB283818"
"2018-01-04T14:10:00.000","001","THEFT","false","false","JB112143"
"2018-01-04T15:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB125319"
"2018-01-04T15:55:00.000","001","THEFT","false","false","JB104439"
"2018-01-04T15:55:00.000","001","DECEPTIVE PRACTICE","false","false","JB104445"
"2018-01-04T16:00:00.000","001","THEFT","false","false","JB104737"
"2018-01-04T16:45:00.000","001","CRIMINAL TRESPASS","true","false","JB104464"
"2018-01-04T17:00:00.000","001","THEFT","false","false","JB104995"
"2018-01-04T17:15:00.000","001","CRIMINAL TRESPASS","false","false","JB104564"
"2018-01-04T17:42:00.000","001","THEFT","true","false","JB104571"
"2018-01-04T18:00:00.000","001","BATTERY","false","true","JB146263"
"2018-01-04T18:00:00.000","001","BATTERY","false","false","JB104644"
"2018-01-04T18:10:00.000","001","THEFT","false","false","JB104769"
"2018-01-04T18:15:00.000","001","BATTERY","false","true","JB104950"
"2018-01-04T18:15:00.000","001","THEFT","false","false","JB104586"
"2018-01-04T18:22:00.000","001","THEFT","false","false","JB106648"
"2018-01-04T18:30:00.000","001","THEFT","false","false","JB104614"
"2018-01-04T19:28:00.000","001","OTHER OFFENSE","false","true","JB104721"
"2018-01-04T19:35:00.000","001","THEFT","false","false","JB105295"
"2018-01-04T20:00:00.000","001","BATTERY","true","true","JB104761"
"2018-01-04T20:18:00.000","001","THEFT","false","false","JB105396"
"2018-01-04T20:30:00.000","001","THEFT","false","false","JB105610"
"2018-01-04T20:30:00.000","001","THEFT","false","false","JB104741"
"2018-01-04T21:40:00.000","001","THEFT","false","false","JB104797"
"2018-01-04T22:55:00.000","001","THEFT","false","false","JB104881"
"2018-01-04T23:00:00.000","001","BATTERY","false","false","JB105513"
"2018-01-04T23:30:00.000","001","DECEPTIVE PRACTICE","false","false","JB126128"
"2018-01-05T00:00:00.000","001","OTHER OFFENSE","false","false","JF384401"
"2018-01-05T02:20:00.000","001","BATTERY","true","true","JB104932"
"2018-01-05T08:15:00.000","001","THEFT","true","false","JB105038"
"2018-01-05T09:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB105148"
"2018-01-05T09:00:00.000","001","THEFT","false","false","JB105147"
"2018-01-05T09:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB105382"
"2018-01-05T09:30:00.000","001","DECEPTIVE PRACTICE","true","false","JB108840"
"2018-01-05T09:50:00.000","001","OTHER OFFENSE","false","true","JB105105"
"2018-01-05T09:57:00.000","001","ASSAULT","true","false","JB105186"
"2018-01-05T10:59:00.000","001","DECEPTIVE PRACTICE","false","false","JB105210"
"2018-01-05T11:59:00.000","001","THEFT","false","false","JB113482"
"2018-01-05T12:10:00.000","001","THEFT","false","false","JB105290"
"2018-01-05T12:35:00.000","001","CRIMINAL TRESPASS","false","false","JB110724"
"2018-01-05T12:50:00.000","001","CRIMINAL TRESPASS","false","false","JB105891"
"2018-01-05T13:00:00.000","001","THEFT","false","false","JB106940"
"2018-01-05T13:00:00.000","001","THEFT","false","false","JB105654"
"2018-01-05T13:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB107605"
"2018-01-05T13:05:00.000","001","THEFT","false","false","JB105777"
"2018-01-05T13:20:00.000","001","DECEPTIVE PRACTICE","false","false","JB106653"
"2018-01-05T13:30:00.000","001","THEFT","false","false","JB105836"
"2018-01-05T14:00:00.000","001","THEFT","false","false","JB105561"
"2018-01-05T15:00:00.000","001","THEFT","false","false","JB110870"
"2018-01-05T15:30:00.000","001","NARCOTICS","true","false","JB112841"
"2018-01-05T15:35:00.000","001","THEFT","true","false","JB105670"
"2018-01-05T15:40:00.000","001","THEFT","false","false","JB105621"
"2018-01-05T16:00:00.000","001","THEFT","false","false","JB106077"
"2018-01-05T16:30:00.000","001","WEAPONS VIOLATION","true","false","JB105680"
"2018-01-05T17:00:00.000","001","THEFT","false","false","JB105685"
"2018-01-05T17:05:00.000","001","BATTERY","false","false","JB105684"
"2018-01-05T17:10:00.000","001","THEFT","false","false","JB105738"
"2018-01-05T17:22:00.000","001","THEFT","false","false","JB105688"
"2018-01-05T17:35:00.000","001","THEFT","false","false","JB105785"
"2018-01-05T17:36:00.000","001","THEFT","false","false","JB107644"
"2018-01-05T17:45:00.000","001","DECEPTIVE PRACTICE","false","false","JB105907"
"2018-01-05T17:53:00.000","001","ROBBERY","false","false","JB105746"
"2018-01-05T18:00:00.000","001","THEFT","false","false","JB106277"
"2018-01-05T18:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB106278"
"2018-01-05T18:10:00.000","001","DECEPTIVE PRACTICE","false","false","JB107474"
"2018-01-05T19:00:00.000","001","INTERFERENCE WITH PUBLIC OFFICER","true","false","JB106015"
"2018-01-05T19:23:00.000","001","BATTERY","true","false","JB105865"
"2018-01-05T20:40:00.000","001","ROBBERY","false","false","JB105930"
"2018-01-05T21:00:00.000","001","BATTERY","true","true","JB106209"
"2018-01-05T21:50:00.000","001","THEFT","false","false","JB106002"
"2018-01-05T22:15:00.000","001","THEFT","false","false","JB106058"
"2018-01-05T22:30:00.000","001","BURGLARY","false","false","JB106187"
"2018-01-05T22:50:00.000","001","ROBBERY","false","false","JB106821"
"2018-01-05T22:51:00.000","001","ROBBERY","false","false","JB106022"
"2018-01-05T23:08:00.000","001","THEFT","false","false","JB110472"
"2018-01-05T23:45:00.000","001","THEFT","false","false","JB106119"
"2018-01-06T00:00:00.000","001","BURGLARY","false","false","JB107108"
"2018-01-06T00:45:00.000","001","BATTERY","false","false","JB106128"
"2018-01-06T03:00:00.000","001","CRIMINAL DAMAGE","false","false","JB106233"
"2018-01-06T05:00:00.000","001","THEFT","false","false","JB250893"
"2018-01-06T08:00:00.000","001","THEFT","false","false","JB106339"
"2018-01-06T10:55:00.000","001","THEFT","true","false","JB106423"
"2018-01-06T11:13:00.000","001","THEFT","false","false","JB106434"
"2018-01-06T12:00:00.000","001","BATTERY","false","true","JB106493"
"2018-01-06T12:20:00.000","001","CRIMINAL TRESPASS","true","false","JB106491"
"2018-01-06T12:45:00.000","001","BATTERY","false","false","JB110673"
